iter	Logloss
0	0.6862485218
5	0.6604570814
10	0.6445356187
15	0.6342994494
20	0.6276761482
25	0.623023621
30	0.6196374188
35	0.6170763268
40	0.6150940888
45	0.6135049609
50	0.6121405398
55	0.6109960368
60	0.6099662454
65	0.6090981093
70	0.6082636757
75	0.6075556714
80	0.6068741501
85	0.6062819456
90	0.6057435054
95	0.6052594461
100	0.6047238718
105	0.6042494262
110	0.6038356014
115	0.6034326237
120	0.6030378086
125	0.6026877971
130	0.6023533489
135	0.601992599
140	0.6016685626
145	0.6013738389
150	0.6010396446
155	0.6006955101
160	0.6004232789
165	0.6001279748
170	0.5998407244
175	0.599571069
180	0.5993272435
185	0.5990650251
190	0.5988378151
195	0.5985926836
200	0.5983438881
205	0.5980973781
210	0.5978451724
215	0.5976360652
220	0.5974143694
225	0.5971920207
230	0.5969590787
235	0.596753563
240	0.5965376355
245	0.5963702118
250	0.5961792074
255	0.5959632436
260	0.595731789
265	0.5955234073
270	0.5953082416
275	0.5951045036
280	0.5949105969
285	0.594733233
290	0.5945287694
295	0.5943473061
300	0.5941457084
305	0.5939542324
310	0.5937598178
315	0.5935584015
320	0.5933627897
325	0.5931728374
330	0.5929823771
335	0.592797685
340	0.5926143716
345	0.5924141888
350	0.5922394369
355	0.5920891366
360	0.5919103579
365	0.5917271169
370	0.591565389
375	0.5913961151
380	0.5912368541
385	0.5910548829
390	0.5908772288
395	0.5907153557
400	0.5905515962
405	0.5904035813
410	0.5902284667
415	0.5900684801
420	0.5899058814
425	0.5897494138
430	0.5895882663
435	0.5894466001
440	0.5892892618
445	0.5891294565
450	0.5889815143
455	0.5888436573
460	0.5887064533
465	0.588555899
470	0.5884024425
475	0.588248732
480	0.5880938606
485	0.5879586519
490	0.5878184732
495	0.5876792739
500	0.5875401109
505	0.5874074418
510	0.5872509378
515	0.5871028867
520	0.5869594429
525	0.5868135322
530	0.5866818788
535	0.5865391606
540	0.5863927057
545	0.5862635555
550	0.5861303784
555	0.5859949158
560	0.5858789709
565	0.5857525778
570	0.585605615
575	0.5854575639
580	0.5853272891
585	0.5851947288
590	0.5850483827
595	0.5848916248
600	0.5847389301
605	0.5846111948
610	0.5844754419
615	0.5843310186
620	0.5842010703
625	0.5840658254
630	0.5839528552
635	0.5838221451
640	0.5836871904
645	0.5835617768
650	0.5834409343
655	0.5833165366
660	0.5831819083
665	0.5830497471
670	0.5829124706
675	0.5827985572
680	0.582665634
685	0.5825383703
690	0.5824100908
695	0.5822925859
700	0.5821690951
705	0.5820572132
710	0.5819326341
715	0.5818026495
720	0.5816810814
725	0.5815513871
730	0.5814262637
735	0.5813087225
740	0.5811785203
745	0.581050531
750	0.5809280197
755	0.5808053632
760	0.5806907243
765	0.5805664354
770	0.5804381196
775	0.5803170594
780	0.5802084789
785	0.5800891601
790	0.57997463
795	0.5798499057
800	0.5797112143
805	0.5795885942
810	0.5794859633
815	0.5793762945
820	0.5792467452
825	0.579129857
830	0.5790221472
835	0.5788863581
840	0.5787723722
845	0.5786472489
850	0.5785414255
855	0.5784293986
860	0.578307758
865	0.578176032
870	0.5780546453
875	0.5779456295
880	0.5778271814
885	0.577708842
890	0.5775951826
895	0.5774643273
900	0.5773443192
905	0.5772328728
910	0.5771090192
915	0.5769893738
920	0.5768794148
925	0.5767703989
930	0.5766497016
935	0.5765185561
940	0.5764242692
945	0.5763015039
950	0.5761880259
955	0.5760716456
960	0.5759531974
965	0.5758250267
970	0.5757073767
975	0.5755850468
980	0.5754726208
985	0.5753502909
990	0.5752374296
995	0.5751285589
999	0.575027234
