iter	Passed	Remaining
0	179	179804
1	205	102431
2	233	77438
3	264	65780
4	290	57899
5	318	52811
6	344	48940
7	372	46195
8	407	44902
9	437	43264
10	462	41621
11	487	40156
12	514	39084
13	548	38621
14	571	37547
15	598	36810
16	626	36243
17	651	35540
18	677	34984
19	702	34430
20	728	33943
21	753	33477
22	777	33006
23	802	32618
24	825	32199
25	850	31863
26	875	31545
27	898	31186
28	922	30878
29	946	30600
30	972	30401
31	997	30180
32	1022	29954
33	1046	29736
34	1071	29554
35	1100	29460
36	1126	29312
37	1152	29171
38	1178	29044
39	1201	28831
40	1230	28773
41	1257	28683
42	1280	28495
43	1306	28377
44	1333	28293
45	1361	28242
46	1386	28117
47	1411	27990
48	1436	27877
49	1463	27801
50	1485	27638
51	1509	27514
52	1534	27416
53	1558	27297
54	1582	27196
55	1607	27105
56	1634	27042
57	1660	26972
58	1686	26895
59	1718	26921
60	1743	26832
61	1769	26775
62	1796	26724
63	1821	26635
64	1853	26657
65	1878	26577
66	1903	26513
67	1928	26437
68	1953	26351
69	1976	26261
70	2003	26218
71	2033	26214
72	2060	26164
73	2083	26077
74	2111	26041
75	2136	25976
76	2159	25885
77	2184	25818
78	2209	25760
79	2238	25738
80	2262	25667
81	2286	25594
82	2308	25503
83	2336	25482
84	2363	25440
85	2392	25425
86	2420	25406
87	2445	25344
88	2470	25284
89	2496	25241
90	2524	25214
91	2553	25203
92	2585	25220
93	2609	25152
94	2635	25103
95	2659	25047
96	2683	24981
97	2705	24899
98	2730	24852
99	2756	24807
100	2783	24776
101	2810	24741
102	2838	24716
103	2863	24674
104	2886	24605
105	2910	24549
106	2933	24483
107	2959	24442
108	2984	24395
109	3009	24349
110	3032	24286
111	3054	24221
112	3078	24162
113	3101	24103
114	3126	24058
115	3150	24008
116	3172	23943
117	3197	23902
118	3223	23863
119	3252	23854
120	3276	23805
121	3301	23760
122	3324	23701
123	3348	23655
124	3372	23604
125	3397	23564
126	3425	23547
127	3451	23514
128	3474	23461
129	3498	23410
130	3521	23358
131	3545	23315
132	3570	23274
133	3594	23227
134	3618	23185
135	3642	23141
136	3666	23099
137	3695	23083
138	3720	23047
139	3742	22989
140	3766	22945
141	3791	22909
142	3815	22868
143	3839	22825
144	3863	22782
145	3886	22732
146	3914	22713
147	3940	22683
148	3964	22643
149	3991	22619
150	4018	22594
151	4041	22548
152	4063	22497
153	4087	22456
154	4115	22438
155	4143	22415
156	4167	22375
157	4194	22350
158	4222	22333
159	4246	22296
160	4269	22248
161	4294	22214
162	4317	22170
163	4339	22120
164	4365	22089
165	4389	22055
166	4412	22008
167	4435	21966
168	4463	21946
169	4491	21926
170	4517	21900
171	4545	21880
172	4569	21844
173	4598	21831
174	4627	21817
175	4651	21779
176	4674	21737
177	4696	21687
178	4723	21664
179	4743	21611
180	4769	21581
181	4795	21553
182	4821	21527
183	4849	21504
184	4873	21471
185	4898	21438
186	4920	21393
187	4944	21356
188	4969	21322
189	4990	21276
190	5013	21236
191	5037	21197
192	5060	21160
193	5083	21121
194	5107	21085
195	5130	21047
196	5153	21005
197	5178	20974
198	5203	20946
199	5228	20914
200	5251	20875
201	5275	20842
202	5300	20811
203	5327	20786
204	5352	20756
205	5378	20729
206	5401	20692
207	5425	20659
208	5449	20624
209	5476	20600
210	5500	20566
211	5527	20543
212	5553	20519
213	5578	20487
214	5608	20475
215	5632	20445
216	5659	20421
217	5684	20389
218	5710	20364
219	5735	20335
220	5756	20292
221	5782	20263
222	5809	20241
223	5833	20207
224	5855	20170
225	5882	20145
226	5906	20114
227	5931	20083
228	5957	20057
229	5984	20033
230	6007	19999
231	6034	19976
232	6068	19978
233	6092	19942
234	6114	19906
235	6137	19868
236	6162	19838
237	6185	19805
238	6210	19775
239	6235	19746
240	6263	19726
241	6286	19691
242	6311	19662
243	6334	19626
244	6356	19588
245	6378	19549
246	6402	19518
247	6422	19474
248	6444	19435
249	6473	19420
250	6500	19397
251	6525	19368
252	6550	19341
253	6590	19355
254	6619	19339
255	6646	19317
256	6673	19292
257	6696	19259
258	6724	19239
259	6757	19233
260	6787	19218
261	6817	19203
262	6843	19177
263	6864	19137
264	6886	19100
265	6912	19074
266	6941	19055
267	6968	19033
268	6992	19000
269	7016	18971
270	7043	18946
271	7071	18926
272	7096	18897
273	7124	18877
274	7148	18845
275	7174	18819
276	7198	18789
277	7223	18761
278	7248	18731
279	7277	18714
280	7310	18704
281	7335	18677
282	7359	18644
283	7384	18616
284	7407	18583
285	7431	18553
286	7457	18527
287	7482	18497
288	7505	18465
289	7531	18439
290	7555	18407
291	7579	18377
292	7605	18352
293	7627	18316
294	7652	18288
295	7680	18266
296	7705	18239
297	7732	18216
298	7757	18188
299	7786	18168
300	7810	18138
301	7836	18111
302	7866	18095
303	7889	18063
304	7913	18032
305	7940	18007
306	7963	17976
307	7988	17948
308	8015	17924
309	8040	17897
310	8066	17870
311	8090	17840
312	8114	17809
313	8141	17786
314	8169	17764
315	8193	17735
316	8218	17706
317	8243	17679
318	8266	17646
319	8292	17620
320	8319	17598
321	8343	17568
322	8367	17538
323	8393	17512
324	8418	17484
325	8444	17458
326	8468	17429
327	8493	17401
328	8515	17368
329	8542	17344
